facdomain,facgroup,facsubgrp,factype,datasource,count_new,facdomain_old,facgroup_old,facsubgrp_old,factype_old,count_old,diff
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,MUNICIPAL PARKING - INDOOR,dcas_colp,7,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,MUNICIPAL PARKING - INDOOR,7,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,MUNICIPAL PARKING - OUTDOOR,dcas_colp,30,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,MUNICIPAL PARKING - OUTDOOR,29,1
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,PUBLIC PARK AND RIDE LOT,dcp_sfpsd,6,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,PUBLIC PARK AND RIDE LOT,6,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,PUBLIC PARKING,dot_publicparking,38,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,PUBLIC PARKING,666,-628
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,dca_operatingbusinesses,506,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PARKING LOTS AND GARAGES,TOW TRUCK COMPANY,764,-258
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,CRUISE TERMINAL,usdot_ports,3,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,CRUISE TERMINAL,3,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY LANDING,dot_ferryterminals,3,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY LANDING,14,-11
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY LANDING,usdot_ports,18,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY LANDING,14,4
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,dcas_colp,16,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,19,-3
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,dot_ferryterminals,6,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,FERRY TERMINAL,19,-13
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,PIER - MARITIME USE,dcas_colp,6,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,PIER - MARITIME USE,7,-1
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,PORT OR MARINE TERMINAL,usdot_ports,37,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,PORT OR MARINE TERMINAL,80,-43
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,WATERFRONT TRANSPORTATION FACILITY,dcas_colp,4,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,PORTS AND FERRY LANDINGS,WATERFRONT TRANSPORTATION FACILITY,4,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,AMTRAK MAINTENANCE AND OTHER FACILITY,dcp_sfpsd,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,AMTRAK MAINTENANCE AND OTHER FACILITY,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,AMTRAK YARD,dcp_sfpsd,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,AMTRAK YARD,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,LIRR MAINTENANCE AND OTHER FACILITY,dcp_sfpsd,7,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,LIRR MAINTENANCE AND OTHER FACILITY,7,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,LIRR YARD,dcp_sfpsd,21,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,LIRR YARD,21,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,METRO-NORTH MAINTENANCE AND OTHER FACILITY,dcp_sfpsd,1,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,METRO-NORTH MAINTENANCE AND OTHER FACILITY,1,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,METRO-NORTH YARD,dcp_sfpsd,3,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,METRO-NORTH YARD,3,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,NYCT MAINTENANCE AND OTHER FACILITY,dcp_sfpsd,26,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,NYCT MAINTENANCE AND OTHER FACILITY,26,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,NYCT SUBWAY YARD,dcp_sfpsd,40,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,NYCT SUBWAY YARD,40,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,RAIL FACILITY,dcas_colp,2,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,RAIL FACILITY,2,0
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,RAIL LINE,dcas_colp,51,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,RAIL LINE,8,43
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT FACILITY,dcas_colp,4,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT FACILITY,2,2
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT SUBSTATION,dcas_colp,38,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT SUBSTATION,35,3
CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT YARD,dcas_colp,42,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,RAIL YARDS AND MAINTENANCE,TRANSIT YARD,25,17
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,POLLUTION CONTROL FACILITY,dcas_colp,19,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,POLLUTION CONTROL FACILITY,15,4
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,PUMPING STATION,dcas_colp,69,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,PUMPING STATION,64,5
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,SLUDGE DE-WATERING FACILITY,dcas_colp,7,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,SLUDGE DE-WATERING FACILITY,5,2
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,STORMWATER PUMPING STATION,dcas_colp,1,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,STORMWATER PUMPING STATION,1,0
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WASTEWATER PUMPING STATION,dcas_colp,46,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WASTEWATER PUMPING STATION,44,2
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WASTEWATER TREATMENT PLANT,dep_wwtc,14,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WASTEWATER TREATMENT PLANT,14,0
CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WATER POLLUTION CONTROL PLANT,dcas_colp,20,CORE INFRASTRUCTURE AND TRANSPORTATION,WATER AND WASTEWATER,WASTEWATER AND POLLUTION CONTROL,WATER POLLUTION CONTROL PLANT,8,12
"EDUCATION, CHILD WELFARE, AND YOUTH",ADULT SERVICES,ADULT AND IMMIGRANT LITERACY,READING & WRITING,moeo_socialservicesiteloactions,130,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,dohmh_daycare,480,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - ALL AGE,530,-50
"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - PRESCHOOL AGE,dohmh_daycare,2,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - SCHOOL AGE,dohmh_daycare,24,"EDUCATION, CHILD WELFARE, AND YOUTH",CAMPS,CAMPS,CAMP - SCHOOL AGE,36,-12
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,FEEDING SITE,nysed_activeinstitutions,390,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,FEEDING SITE,1229,-839
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,1715,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,1714,1
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,USDA COMMUNITY ELIGIBILITY OPTION,nysed_activeinstitutions,228,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,USDA COMMUNITY ELIGIBILITY OPTION,228,0
"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,FOSTER CARE SERVICES AND RESIDENTIAL CARE,RESIDENTIAL FACILITY FOR CHILDREN,moeo_socialservicesiteloactions,52,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,FOSTER CARE SERVICES AND RESIDENTIAL CARE,RESIDENTIAL FACILITY FOR CHILDREN,1,51
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,acs_daycareheadstart,354,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,346,8
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,dohmh_daycare,1181,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,346,835
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,moeo_socialservicesiteloactions,372,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,263,109
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,SCHOOL BASED CHILD CARE - AGE UNSPECIFIED,dohmh_daycare,1,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,SCHOOL BASED CHILD CARE - AGE UNSPECIFIED,1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,SCHOOL BASED CHILD CARE - PRESCHOOL,dohmh_daycare,328,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,SCHOOL BASED CHILD CARE - PRESCHOOL,433,-105
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DISTRICT PRE-K CENTER SCHOOL - PUBLIC,doe_lcgms,18,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DISTRICT PRE-K CENTER SCHOOL - PUBLIC,21,-3
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DOE UNIVERSAL PRE-K,doe_universalprek,645,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DOE UNIVERSAL PRE-K,676,-31
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DOE UNIVERSAL PRE-K - CHARTER ,doe_universalprek,16,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY CHILDHOOD SCHOOL - PUBLIC,doe_lcgms,17,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY CHILDHOOD SCHOOL - PUBLIC,18,-1
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,doe_universalprek,1126,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,1153,-27
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,PRE-K CENTER,doe_universalprek,79,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,PRESCHOOLS FOR STUDENTS WITH DISABILITIES,PRE-SCHOOL EVALUATION PROVIDERS FOR  SWD,nysed_activeinstitutions,6,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,PRESCHOOLS FOR STUDENTS WITH DISABILITIES,PRE-SCHOOL FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,184,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,PRESCHOOLS FOR STUDENTS WITH DISABILITIES,PRE-SCHOOL FOR STUDENTS WITH DISABILITIES,197,-13
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,2 YEAR INDEPENDENT,nysed_activeinstitutions,12,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,2 YEAR INDEPENDENT,12,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,2 YEAR PROPRIETARY,nysed_activeinstitutions,13,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,2 YEAR PROPRIETARY,13,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,4 YEAR PROPRIETARY,nysed_activeinstitutions,12,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,4 YEAR PROPRIETARY,11,1
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,4-YEAR INDEPENDENT,nysed_activeinstitutions,62,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,4-YEAR INDEPENDENT,62,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - 4 YEAR COLLEGE,nysed_activeinstitutions,11,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - 4 YEAR COLLEGE,11,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - COMMUNITY COLLEGE,nysed_activeinstitutions,8,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - COMMUNITY COLLEGE,8,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - GRADUATE CENTER,nysed_activeinstitutions,3,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,CUNY - GRADUATE CENTER,3,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,GRADUATE PROGRAMS ONLY,nysed_activeinstitutions,21,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,GRADUATE PROGRAMS ONLY,21,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,IN USE-RESIDENTIAL STRUCTURE,dcas_colp,1,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,IN USE-RESIDENTIAL STRUCTURE,1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - COMMUNITY COLLEGES,nysed_activeinstitutions,1,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - COMMUNITY COLLEGES,1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - HEALTH SCIENCE CENTERS,nysed_activeinstitutions,1,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - HEALTH SCIENCE CENTERS,1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - SPECIALIZED COLLEGES,nysed_activeinstitutions,2,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHER EDUCATION,COLLEGES OR UNIVERSITIES,SUNY - SPECIALIZED COLLEGES,2,0
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,nysed_activeinstitutions,381,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,351,30
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,doe_lcgms,78,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,37,41
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,doe_lcgms,26,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,15,11
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,doe_lcgms,21,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,10,11
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,doe_lcgms,30,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,37,-7
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,doe_lcgms,56,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,46,10
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,SECONDARY SCHOOL - CHARTER,doe_lcgms,14,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,SECONDARY SCHOOL - CHARTER,8,6
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,UNGRADED SCHOOL - CHARTER,doe_lcgms,1,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,nysed_activeinstitutions,129,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,121,8
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,678,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,646,32
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,nysed_activeinstitutions,146,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,130,16
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,nysed_activeinstitutions,35,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,28,7
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,OTHER SCHOOL - NON-PUBLIC,nysed_activeinstitutions,5,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,262,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,45,217
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,APPROVED PRIVATE SCHOOLS FOR SWD,nysed_activeinstitutions,9,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"ELEMENTARY SCHOOL - PUBLIC, SPECIAL EDUCATION",doe_lcgms,1,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"ELEMENTARY SCHOOL - PUBLIC, SPECIAL EDUCATION",7,-6
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"HIGH SCHOOL - PUBLIC, SPECIAL EDUCATION",doe_lcgms,10,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"HIGH SCHOOL - PUBLIC, SPECIAL EDUCATION",32,-22
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,INTERIM PLACEMENT FACILITIES FOR SWD,nysed_activeinstitutions,7,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"K-12 ALL GRADES SCHOOL - PUBLIC, SPECIAL EDUCATION",doe_lcgms,29,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"K-12 ALL GRADES SCHOOL - PUBLIC, SPECIAL EDUCATION",167,-138
